smiles,mol_weight,exact_mol_weight,heavy_atom_count,heteroatom_count,oxygen_nitrogen_count,logp,tpsa,hbd,hba,total_hbond_donors_acceptors,rotatable_bonds,ring_count,aromatic_ring_count,chiral_center_count,unspecified_chiral_center_count,most_basic_pka,most_acidic_pka,num_basic_sites,num_acidic_sites,neutral_fraction_ph74,charged_fraction_ph74,base_protonated_fraction_ph74,acid_deprotonated_fraction_ph74,estimated_logd_ph74,pka_features_available,nitroso_group_count,nitroso_present,aromatic_amine_count,aromatic_amine_present,michael_acceptor_count,michael_acceptor_present,catechol_ring_count,hydroquinone_ring_count,quinone_ring_count,quinone_or_catechol_alert_count,quinone_or_catechol_present,epoxide_ring_count,epoxide_present,alkyl_halide_count,alkyl_halide_present,aryl_halide_count,aryl_chloride_count,aryl_halide_present,hydroxamic_acid_count,metal_chelator_alert_count,metal_chelator_present,pains_filter_available,pains_alert_count,pains_alert_present,electrophilic_alert_count,electrophilic_alert_present,structural_alert_family_count,mw_le_500,logp_le_5,logp_lt_3,tpsa_gt_75,tpsa_le_140,hbd_le_5,hba_le_10,rotatable_bonds_le_10,aromatic_ring_count_le_3,most_basic_pka_lt_7,most_basic_pka_ge_7,property_alert_count,property_window_pass,basic_aryl_halide_risk_flag
CC[NH+](CC)CCOC(=O)c1ccc(N)cc1,237.323,237.15975433209,17.0,4.0,4.0,0.3503000000000013,56.760000000000005,2.0,3.0,5.0,6.0,1.0,1.0,0.0,0.0,8.481654167175293,13.736194610595703,2.0,2.0,0.07651969880367045,0.9234803011963295,0.9234802659122623,4.6111068840162595e-07,-0.7659267481084276,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
CC[NH+](CC)CCOC(=O)c1ccc(N)cc1Cl,271.76800000000003,271.12078198009,18.0,5.0,4.0,1.0037000000000003,56.760000000000005,2.0,3.0,5.0,6.0,1.0,1.0,0.0,0.0,8.389080047607422,13.613214492797852,2.0,2.0,0.09300854584691162,0.9069914541530884,0.9069913972273907,6.120476593331841e-07,-0.02777714560042055,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
O=C(NCC(O)CO)c1c(I)c(C(=O)NCC(O)CO)c(I)c(N(CCO)C(=O)CO)c1I,807.114,806.864673348,33.0,15.0,12.0,-2.016,199.89,8.0,9.0,17.0,12.0,1.0,1.0,2.0,2.0,,11.005293846130371,0.0,8.0,0.9997519162036933,0.0002480837963066973,0.0,0.00024808379630672213,-2.016107754790447,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,,,4.0,0.0,
CCC([NH2+]C(C)C)C(O)c1ccc(O)c(O)c1,240.323,240.15941998409,17.0,4.0,4.0,0.8815999999999995,77.30000000000001,4.0,3.0,7.0,5.0,1.0,1.0,2.0,2.0,9.326003074645996,9.59943675994873,1.0,3.0,0.011645077621367815,0.9883549223786322,0.9882813515533524,0.0062780981624923,-1.052257612288651,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
C=C(CC)C(=O)c1ccc(OCC(=O)[O-])c(Cl)c1Cl,302.1329999999999,301.00398777191003,19.0,6.0,4.0,2.271,66.43,0.0,4.0,4.0,6.0,1.0,1.0,0.0,0.0,,2.5844571590423584,0.0,1.0,1.529151510193394e-05,0.9999847084848981,0.0,0.9999847084848981,-2.544549482029759,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,,,1.0,0.0,
C#CC[NH+](C)Cc1ccccc1,160.24,160.11207586809,12.0,1.0,1.0,0.3344999999999996,4.44,1.0,0.0,1.0,3.0,1.0,1.0,1.0,1.0,6.201614856719971,,1.0,0.0,0.9404411271622244,0.05955887283777561,0.05955887283777565,0.0,0.30783161333789866,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
CCC(Cc1c(I)cc(I)c(N)c1I)C(=O)[O-],569.926,569.79294617191,17.0,6.0,3.0,2.4012000000000002,66.15,1.0,3.0,4.0,4.0,1.0,1.0,1.0,1.0,2.953566551208496,4.433615684509277,1.0,3.0,0.001079272611829346,0.9989207273881706,3.577264189928414e-05,0.9989206887783568,-0.5656688436771717,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0
Clc1cc(Cl)c(OCC#CI)cc1Cl,361.39300000000003,359.83724578799996,14.0,5.0,1.0,4.421500000000001,9.23,0.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,,,0.0,0.0,1.0,0.0,0.0,0.0,4.421500000000001,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,,,1.0,0.0,
N#Cc1cc(NC(=O)C(=O)[O-])c(Cl)c(NC(=O)C(=O)[O-])c1,309.62100000000004,308.97995968782,21.0,10.0,9.0,-2.4115200000000003,162.25,2.0,7.0,9.0,2.0,1.0,1.0,0.0,0.0,3.0103964805603027,1.9535448551177979,2.0,4.0,3.5770547993281982e-06,0.9999964229452006,4.0773573186885736e-05,0.9999964227993454,-7.857994406548388,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
NS(=O)(=O)c1cc(Cl)c(Cl)c(S(N)(=O)=O)c1,305.16400000000004,303.91460403199994,16.0,10.0,6.0,0.2882000000000006,120.32,2.0,4.0,6.0,2.0,1.0,1.0,0.0,0.0,3.8733105659484863,9.028944969177246,2.0,4.0,0.9767497678455818,0.023250232154418238,0.00029729077626718884,0.022959767105136704,0.2779833166734853,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0
C[NH2+]C[C@H](O)c1ccc(O)c(O)c1,184.215,184.09681972809,13.0,4.0,4.0,-0.6755999999999998,77.30000000000001,4.0,3.0,7.0,3.0,1.0,1.0,1.0,0.0,9.002508163452148,9.63576602935791,1.0,3.0,0.02422493460761082,0.9757750653923892,0.975634299776755,0.005777203788295501,-2.2913373866029803,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
C[NH2+]C[C@H](O)c1cccc(O)c1,168.21599999999998,168.10190510809,12.0,3.0,3.0,-0.38119999999999954,57.07000000000001,3.0,2.0,5.0,3.0,1.0,1.0,1.0,0.0,9.016517639160156,9.819794654846191,1.0,2.0,0.023521047882062884,0.9764789521179371,0.9763894852958628,0.0037892787681862625,-2.0097433339878994,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
NC(N)=[NH+]C(=O)Cc1c(Cl)cccc1Cl,247.10500000000002,246.01954372008998,15.0,6.0,4.0,-0.5834999999999992,83.08000000000001,3.0,1.0,4.0,2.0,1.0,1.0,0.0,0.0,8.779986381530762,,1.0,0.0,0.040019886708458574,0.9599801132915414,0.9599801132915414,0.0,-1.9812241451341128,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0
CCC[NH+](CC)C(CC)C(=O)Nc1c(C)cccc1C,277.432,277.22743996809,20.0,3.0,3.0,2.3353399999999995,33.54,2.0,1.0,3.0,7.0,1.0,1.0,2.0,2.0,7.752677917480469,13.836726188659668,2.0,1.0,0.30744925935838907,0.6925507406416109,0.6925506281688742,3.658252284396739e-07,1.8231134511716827,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
COc1ccc(OC)c(C(O)C(C)[NH3+])c1,212.269,212.12811985609,15.0,4.0,4.0,0.36759999999999987,66.33,2.0,3.0,5.0,4.0,1.0,1.0,2.0,2.0,8.625066757202148,11.853046417236328,1.0,1.0,0.05620741239810931,0.9437925876018907,0.9437906072280771,3.5232079835259644e-05,-0.882606407717019,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
CC([NH2+]C(C)(C)C)C(=O)c1cccc(Cl)c1,240.754,240.11496832809,16.0,3.0,2.0,2.2730999999999995,33.68,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,7.434637069702148,,1.0,0.0,0.48007186207846464,0.5199281379215354,0.5199281379215354,0.0,1.954406251892575,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
[NH3+]C[C@H](O)c1ccc(O)c(O)c1,170.188,170.08116966409,12.0,4.0,4.0,-0.6268999999999996,88.33000000000001,4.0,3.0,7.0,2.0,1.0,1.0,1.0,0.0,8.076447486877441,9.552392959594727,1.0,3.0,0.17277802386423255,0.8272219761357674,0.8260055225500732,0.006991334457982075,-1.389411497513626,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
CCC[NH2+]C(C)C(=O)Nc1ccccc1C,221.32399999999998,221.16483971209,16.0,3.0,3.0,1.2954199999999998,45.71,2.0,1.0,3.0,5.0,1.0,1.0,1.0,1.0,7.942935943603516,13.877476692199707,2.0,1.0,0.2226730251009875,0.7773269748990125,0.777326900735393,3.330605256624449e-07,0.6430876092237526,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
[NH3+][C@@H](Cc1ccc(O)c(O)c1)C(=O)[O-],197.18999999999997,197.068807832,14.0,5.0,5.0,-1.999300000000001,108.23000000000002,3.0,4.0,7.0,3.0,1.0,1.0,1.0,0.0,8.671976089477539,2.2399463653564453,1.0,3.0,3.5103423824918487e-07,0.9999996489657618,0.9492534974023986,0.9999930825924885,-8.45395052240165,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
[NH3+]CCc1ccc(O)c(O)c1,154.189,154.08625504409,11.0,3.0,3.0,-0.11780000000000018,68.10000000000001,3.0,2.0,5.0,2.0,1.0,1.0,0.0,0.0,9.942410469055176,9.689172744750977,1.0,2.0,0.0028452462903476882,0.9971547537096523,0.9971401337181219,0.005112124165741113,-2.6636801342216816,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
CC(C)(C)[NH2+]C[C@H](O)c1ccc(O)c(CO)c1,240.323,240.15941998409,17.0,4.0,4.0,0.2798000000000001,77.30000000000001,4.0,3.0,7.0,4.0,1.0,1.0,1.0,0.0,9.4834623336792,9.846593856811523,1.0,3.0,0.008154896490699374,0.9918451035093007,0.991815941019753,0.0035633283701891625,-1.8087815470459472,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
CC(C)(C)[NH2+]CC(O)c1cc(O)cc(O)c1,226.29600000000002,226.14376992009,16.0,4.0,4.0,0.49310000000000015,77.30000000000001,4.0,3.0,7.0,3.0,1.0,1.0,1.0,1.0,9.420448303222656,9.389993667602539,1.0,3.0,0.009354197801972487,0.9906458021980276,0.990550079951731,0.01012942393242716,-1.5358934508272477,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
CC(C)(C)[NH2+]CC(O)c1ccc(O)c(CO)c1,240.323,240.15941998409,17.0,4.0,4.0,0.2798000000000001,77.30000000000001,4.0,3.0,7.0,4.0,1.0,1.0,1.0,1.0,9.4834623336792,9.846593856811523,1.0,3.0,0.008154896490699374,0.9918451035093007,0.991815941019753,0.0035633283701891625,-1.8087815470459472,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
Nc1ccc(O)c(C(=O)[O-])c1,152.129,152.03531663191,11.0,4.0,4.0,-0.6621000000000001,86.38,2.0,4.0,6.0,1.0,1.0,1.0,0.0,0.0,4.834044933319092,2.8999204635620117,1.0,4.0,3.153032707217914e-05,0.9999684696729279,0.002709359761012055,0.9999683840138471,-5.163371524180549,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0
Nc1ccc(C(=O)[O-])c(O)c1,152.12900000000002,152.03531663191,11.0,4.0,4.0,-0.6621000000000001,86.38000000000001,2.0,4.0,6.0,1.0,1.0,1.0,0.0,0.0,4.614654541015625,3.142481565475464,1.0,4.0,5.517549187315103e-05,0.9999448245081268,0.0016366024287969988,0.9999447340597548,-4.920353786542508,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0
CCCC(=O)Nc1c(I)cc(I)c(CC(CC)C(=O)[O-])c1I,640.0170000000002,639.83481098391,22.0,7.0,4.0,3.5576000000000016,69.23,1.0,3.0,4.0,7.0,1.0,1.0,1.0,1.0,2.442274808883667,4.458760738372803,1.0,2.0,0.001143560168314822,0.9988564398316852,1.102224402948303e-05,0.998856427226947,0.6158590199088088,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0
CCCC(=O)Nc1ccc(OCC(O)C[NH2+]C(C)C)c(C(C)=O)c1,337.44000000000005,337.21218382808996,24.0,6.0,6.0,1.3393000000000002,92.24000000000001,3.0,4.0,7.0,10.0,1.0,1.0,1.0,1.0,9.069978713989258,13.641867637634277,2.0,2.0,0.020933093017682758,0.9790669069823172,0.9790668949882697,5.729703035562201e-07,-0.3398665967321495,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
