smiles,mol_weight,exact_mol_weight,heavy_atom_count,carbon_atom_count,heteroatom_count,oxygen_nitrogen_count,halogen_atom_count,logp,molar_refractivity,tpsa,hbd,hba,total_hbond_donors_acceptors,rotatable_bonds,ring_count,aromatic_ring_count,aliphatic_ring_count,fused_aromatic_ring_count,max_fused_aromatic_system_size,aromatic_n_heterocycle_ring_count,fraction_csp3,formal_charge,positive_formal_atom_count,negative_formal_atom_count,aromatic_nitro_count,aromatic_nitro_present,aromatic_amine_count,aromatic_amine_present,azo_linkage_count,azo_linkage_present,n_nitroso_count,n_nitroso_present,epoxide_ring_count,epoxide_present,alkyl_halide_count,alkyl_halide_present,michael_acceptor_count,michael_acceptor_present,alkyl_oxy_nitrogen_ester_count,alkyl_oxy_nitrogen_ester_present,hydrazine_count,hydrazine_present,isocyanate_count,isocyanate_present,quinone_ring_count,quinone_present,pah_system_count,pah_present,hetero_pah_system_count,hetero_pah_present,polycyclic_alert_present,aromatic_alert_family_count,reactive_alert_family_count,ames_alert_family_count,ames_structural_alert_present
N#Cc1cc(I)c(O)c([N+](=O)[O-])c1,290.016,289.918839956,13.0,7.0,6.0,5.0,1.0,1.77668,52.1932,87.16,1.0,4.0,5.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
OCCOc1ccccc1,138.16599999999997,138.06807956,10.0,8.0,2.0,2.0,0.0,1.0576999999999999,39.02280000000002,29.46,1.0,2.0,3.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC(C)OC(=O)COc1ccc(Cl)cc1Cl,263.12,262.016349604,16.0,11.0,5.0,3.0,2.0,3.323800000000002,63.18500000000003,35.53,0.0,3.0,3.0,4.0,1.0,1.0,0.0,0.0,1.0,0.0,0.36363636363636365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCCCCCOC(=O)c1ccccc1,206.28500000000003,206.130679816,15.0,13.0,2.0,2.0,0.0,3.423700000000002,60.866500000000045,26.3,0.0,2.0,2.0,6.0,1.0,1.0,0.0,0.0,1.0,0.0,0.46153846153846156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC(C)C(=O)Nc1ccccc1,163.22,163.099714036,12.0,10.0,2.0,2.0,0.0,2.2811000000000003,49.90970000000003,29.1,1.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nc1cc(Cl)c(N)c(Cl)c1,177.03400000000002,175.990803552,10.0,6.0,4.0,2.0,2.0,2.1578,45.2868,52.04,2.0,2.0,4.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Nc1cc(Cl)ccc1Cl,162.019,160.97990452,9.0,6.0,3.0,1.0,2.0,2.5756000000000006,40.87440000000001,26.02,1.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Cc1ccc([N+](=O)[O-])cc1NO,168.15200000000002,168.053492116,12.0,7.0,5.0,5.0,0.0,1.7043199999999996,43.24260000000002,75.4,2.0,4.0,6.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.14285714285714285,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0
Cc1c(C)c(Br)c(Br)c(Br)c1Br,421.752,417.720298592,12.0,8.0,4.0,0.0,4.0,5.353440000000002,66.71600000000001,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O=CN(O)c1ccccc1,137.13799999999998,137.047678464,10.0,7.0,3.0,3.0,0.0,1.0386000000000002,36.77150000000002,40.540000000000006,1.0,2.0,3.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nc1cc([N+](=O)[O-])cc(Cl)c1O,188.57,187.9988697,12.0,6.0,6.0,5.0,1.0,1.536,44.183600000000006,89.39,2.0,4.0,6.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0
O=[N+]([O-])c1cccc(O)c1,139.10999999999999,139.02694302,10.0,6.0,4.0,4.0,0.0,1.3004,34.76120000000001,63.370000000000005,1.0,3.0,4.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
O=NN(O)c1ccccc1,138.12599999999998,138.042927432,10.0,6.0,4.0,4.0,0.0,1.5635999999999999,36.50250000000002,52.900000000000006,1.0,3.0,4.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
CCOc1ccc(N)cc1,137.182,137.084063972,10.0,8.0,2.0,2.0,0.0,1.6675,42.02340000000001,35.25,1.0,2.0,3.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
CON(C)C(=O)Nc1ccc(Br)cc1,259.10299999999995,258.000389692,14.0,9.0,5.0,4.0,1.0,2.4742000000000006,57.932700000000025,41.57,1.0,2.0,3.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nc1ccc([N+](=O)[O-])cc1Cl,172.571,172.00395508,11.0,6.0,5.0,4.0,1.0,1.8303999999999998,42.518800000000006,69.16,1.0,3.0,4.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0
Nc1cccc(O)c1,109.12799999999999,109.052763844,8.0,6.0,2.0,2.0,0.0,0.9743999999999999,32.5192,46.25,2.0,2.0,4.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
C[C@@H](O)c1ccccc1,122.16699999999996,122.07316494,9.0,8.0,1.0,1.0,0.0,1.7399,37.07580000000001,20.23,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COP(=S)(OC)Oc1ccc([N+](=O)[O-])cc1,263.21099999999996,263.00173005,16.0,8.0,8.0,6.0,0.0,2.4909,62.027400000000014,70.83,0.0,6.0,6.0,5.0,1.0,1.0,0.0,0.0,1.0,0.0,0.25,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
CCOS(=O)(=O)c1ccccc1,186.23200000000003,186.03506518,12.0,8.0,4.0,3.0,0.0,1.4118000000000002,45.25380000000003,43.370000000000005,0.0,3.0,3.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O=[N+]([O-])c1cc([N+](=O)[O-])c(Cl)c([N+](=O)[O-])c1,247.54999999999998,246.963212464,16.0,6.0,10.0,9.0,1.0,2.0645999999999995,51.4152,129.42000000000002,0.0,6.0,6.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
CCO[P@](=S)(CC)Sc1ccccc1,246.33700000000005,246.03019372999998,14.0,10.0,4.0,1.0,0.0,4.144600000000003,68.75100000000003,9.23,0.0,3.0,3.0,5.0,1.0,1.0,0.0,0.0,1.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nc1ccc([N+](=O)[O-])c(N)c1,153.141,153.053826464,11.0,6.0,5.0,5.0,0.0,0.7592000000000001,41.921200000000006,95.17999999999999,2.0,4.0,6.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0
O=[N+]([O-])c1cccc([N+](=O)[O-])c1,168.10799999999998,168.017106608,12.0,6.0,6.0,6.0,0.0,1.503,39.75080000000001,86.28,0.0,4.0,4.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Cc1ccccc1C(=O)O,136.15,136.052429496,10.0,8.0,2.0,2.0,0.0,1.69322,38.13830000000001,37.3,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brc1ccccc1,157.01,155.95746226,7.0,6.0,1.0,0.0,1.0,2.4491000000000005,34.142,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cc1cc(N)c(S(=O)(=O)O)cc1Cl,221.66500000000002,220.991341796,13.0,7.0,6.0,4.0,1.0,1.4773200000000002,50.41600000000001,80.39,2.0,3.0,5.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Nc1ccc(O)c(N)c1,124.143,124.063662876,9.0,6.0,3.0,3.0,0.0,0.5566000000000002,36.9316,72.27,3.0,3.0,6.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
O=C/C=C/c1ccccc1[N+](=O)[O-],177.15899999999996,177.042593084,13.0,9.0,4.0,4.0,0.0,1.8069000000000002,48.19440000000001,60.209999999999994,0.0,3.0,3.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
O=[N+]([O-])c1ccc(I)c([N+](=O)[O-])c1,294.004,293.913754576,13.0,6.0,7.0,6.0,1.0,2.1076,52.467800000000004,86.28,0.0,4.0,4.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Cc1cccc(O)c1N,123.155,123.068413908,9.0,7.0,2.0,2.0,0.0,1.2828199999999998,37.2562,46.25,2.0,2.0,4.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Cc1c(N)ccc(N)c1C,136.19799999999998,136.100048384,10.0,8.0,2.0,2.0,0.0,1.46784,44.74080000000001,52.04,2.0,2.0,4.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
O=C(O)c1ccccc1,122.12299999999996,122.036779432,9.0,7.0,2.0,2.0,0.0,1.3848,33.4013,37.3,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCCCCCCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCCCCCCC,530.8340000000004,530.4335103359999,38.0,34.0,4.0,4.0,0.0,10.622199999999992,159.9289999999997,52.60000000000001,0.0,4.0,4.0,26.0,1.0,1.0,0.0,0.0,1.0,0.0,0.7647058823529411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cc1cc(Cl)ccc1OCC(=O)O,200.62099999999998,200.024021828,13.0,9.0,4.0,3.0,1.0,2.11182,49.31980000000002,46.53,1.0,2.0,3.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC(CN=[N+]=[N-])c1ccccc1,161.208,161.095297352,12.0,9.0,3.0,3.0,0.0,3.1004000000000014,48.87000000000003,48.760000000000005,0.0,1.0,1.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,0.3333333333333333,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cc1cc(N)c(C)c([N+](=O)[O-])c1N,181.195,181.085126592,13.0,8.0,5.0,5.0,0.0,1.37604,51.3952,95.17999999999999,2.0,4.0,6.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.25,0.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0
CN(C)C(=O)Nc1ccc(Cl)cc1,198.653,198.055990652,13.0,9.0,4.0,3.0,1.0,2.4335000000000004,54.15770000000003,32.34,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cc1ccccc1C=O,120.15099999999998,120.057514876,9.0,8.0,1.0,1.0,0.0,1.80752,36.566500000000005,17.07,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COc1cc(F)ccc1[N+](=O)[O-],171.12699999999998,171.033171272,12.0,7.0,5.0,4.0,1.0,1.7425,39.606400000000015,52.370000000000005,0.0,3.0,3.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.14285714285714285,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
