smiles,mol_weight,exact_mol_weight,heavy_atom_count,carbon_atom_count,heteroatom_count,oxygen_nitrogen_count,logp,molar_refractivity,tpsa,hbd,hba,total_hbond_donors_acceptors,rotatable_bonds,ring_count,aromatic_ring_count,aliphatic_ring_count,fused_aromatic_ring_count,aromatic_atom_fraction,carbon_heavy_atom_fraction,fraction_csp3,formal_charge,positive_formal_atom_count,negative_formal_atom_count,basic_center_count,tertiary_amine_count,quaternary_ammonium_count,aromatic_linker_count,longest_alkyl_chain,adamantane_like_present,most_basic_pka,num_basic_sites,base_protonated_fraction_ph74,pka_features_available,mw_gt_500,mw_ge_300,mw_lt_300,logp_ge_3,logp_le_3,tpsa_gt_75,tpsa_le_75,hba_ge_3,hba_le_2,hbd_le_3,hbd_ge_4,oxygen_nitrogen_ge_4,oxygen_nitrogen_le_3,basic_center_present,cationic_center_present,tertiary_amine_present,most_basic_pka_gt_8,most_basic_pka_lt_8,aromatic_ring_count_ge_2,aromatic_linker_present,long_alkyl_chain_ge_6,bulky_hydrophobic_moiety_present,hydrophobic_large_molecule,aromatic_basic_combo_present,pgp_flowchart_high_likelihood
O=[N+]([O-])c1ccc(O)cc1,139.10999999999999,139.02694302,10.0,6.0,4.0,4.0,1.3003999999999998,34.76120000000001,63.370000000000005,1.0,3.0,4.0,1.0,1.0,1.0,0.0,0.0,0.6,0.6,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCc1cccc(CC)c1NC(=O)CN(CC(=O)O)CC(=O)O,322.36100000000005,322.152871804,23.0,16.0,7.0,7.0,1.2210999999999996,85.53930000000004,106.94000000000001,3.0,4.0,7.0,9.0,1.0,1.0,0.0,0.0,0.2608695652173913,0.6956521739130435,0.4375,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,6.196702003479004,2.0,0.058928402723677574,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCOc1ccc(NC(C)=O)cc1,179.219,179.094628656,13.0,10.0,3.0,3.0,2.0437,51.914700000000025,38.33,1.0,2.0,3.0,3.0,1.0,1.0,0.0,0.0,0.46153846153846156,0.7692307692307693,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.714859962463379,1.0,0.0020604600235155216,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CN(C)Cc1ccccc1,135.20999999999998,135.104799416,10.0,9.0,1.0,1.0,1.7482,43.83300000000003,3.24,0.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.6,0.9,0.3333333333333333,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,8.3671293258667,1.0,0.902639052162687,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCN[C@@H](C)Cc1cccc(C(F)(F)F)c1,231.26099999999997,231.123484172,16.0,12.0,4.0,1.0,3.2459000000000024,58.286700000000025,12.03,1.0,1.0,2.0,4.0,1.0,1.0,0.0,0.0,0.375,0.75,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,9.45047378540039,1.0,0.9911757685465897,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COc1cccc(/C=N/NC(=O)C(=O)NC(C)(C)C)c1O,293.32300000000004,293.137556088,21.0,14.0,7.0,7.0,0.7655999999999992,78.29120000000002,100.02,3.0,5.0,8.0,3.0,1.0,1.0,0.0,0.0,0.2857142857142857,0.6666666666666666,0.35714285714285715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COc1ccc(CCN)cc1OC,181.235,181.11027872,13.0,10.0,3.0,3.0,1.205,52.30440000000003,44.480000000000004,1.0,3.0,4.0,4.0,1.0,1.0,0.0,0.0,0.46153846153846156,0.7692307692307693,0.4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,9.847308158874512,1.0,0.9964425067335593,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCCC(=O)Nc1ccc(OC[C@H](O)CNC(C)C)c(C(C)=O)c1,336.4320000000001,336.204907376,24.0,18.0,6.0,6.0,2.3655,94.62470000000005,87.66,3.0,5.0,8.0,10.0,1.0,1.0,0.0,0.0,0.25,0.75,0.5555555555555556,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,9.069978713989258,2.0,0.9790668949882697,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC(=O)Nc1ccc(OC[C@H](O)CNC(C)C)c(C(C)=O)c1,308.37800000000004,308.173607248,22.0,16.0,6.0,6.0,1.5852999999999997,85.39070000000004,87.66,3.0,5.0,8.0,8.0,1.0,1.0,0.0,0.0,0.2727272727272727,0.7272727272727273,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,9.081748008728027,2.0,0.9796151516476165,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NCCc1ccccc1,121.18299999999995,121.08914935199999,9.0,8.0,1.0,1.0,1.1878,39.200400000000016,26.02,1.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,0.6666666666666666,0.8888888888888888,0.25,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,10.181975364685059,1.0,0.9983506692776353,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COc1cc(/C=C/C(N)=O)cc(OC)c1OC,237.25499999999997,237.10010796,17.0,12.0,5.0,5.0,1.2109,64.32640000000002,70.78,1.0,4.0,5.0,5.0,1.0,1.0,0.0,0.0,0.35294117647058826,0.7058823529411765,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.3457818031311035,1.0,8.82558439811069e-05,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O=C(O)c1ccccc1OP(=O)(O)O,218.10099999999997,217.998024574,14.0,7.0,7.0,6.0,0.8562999999999998,46.073400000000014,104.06,3.0,3.0,6.0,3.0,1.0,1.0,0.0,0.0,0.42857142857142855,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1,270.354,270.103813436,18.0,12.0,6.0,5.0,1.78302,69.80720000000004,75.27000000000001,2.0,3.0,5.0,5.0,1.0,1.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.4166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.306405067443848,1.0,0.0008054806478209942,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C=CCc1ccccc1OC[C@H](O)CNC(C)C,249.35399999999996,249.172878976,18.0,15.0,3.0,3.0,2.1528,74.98350000000005,41.49,2.0,3.0,5.0,8.0,1.0,1.0,0.0,0.0,0.3333333333333333,0.8333333333333334,0.4666666666666667,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,9.026785850524902,1.0,0.9769284430284658,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1OC,299.8020000000001,299.14005462399996,20.0,14.0,6.0,5.0,2.0023999999999997,82.53760000000004,67.59,2.0,4.0,6.0,7.0,1.0,1.0,0.0,0.0,0.3,0.7,0.5,0.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,9.043728828430176,2.0,0.9777915898712455,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C#CCN(C)[C@@H](C)Cc1ccccc1,187.286,187.136099544,14.0,13.0,1.0,1.0,2.1826,61.07100000000004,3.24,0.0,1.0,1.0,4.0,1.0,1.0,0.0,0.0,0.42857142857142855,0.9285714285714286,0.38461538461538464,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,6.93582010269165,1.0,0.25562874879887315,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC(=O)Nc1ccc(O)cc1,151.165,151.063328528,11.0,8.0,3.0,3.0,1.3505999999999998,42.41050000000002,49.33,2.0,2.0,4.0,1.0,1.0,1.0,0.0,0.0,0.5454545454545454,0.7272727272727273,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.599997043609619,1.0,0.00158237452604812,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COc1ccccc1OC[C@@H](O)CO,198.21799999999996,198.089208928,14.0,10.0,4.0,4.0,0.4272000000000001,51.58160000000003,58.92,2.0,4.0,6.0,5.0,1.0,1.0,0.0,0.0,0.42857142857142855,0.7142857142857143,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clc1cc(Cl)c(OCC#CI)cc1Cl,361.39300000000003,359.83724578799996,14.0,9.0,5.0,1.0,4.421500000000001,68.763,9.23,0.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.42857142857142855,0.6428571428571429,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0
CSc1ccccc1OC[C@H](O)CNC(C)C,255.38299999999995,255.129299912,17.0,13.0,4.0,3.0,2.1461999999999994,72.86350000000004,41.49,2.0,4.0,6.0,7.0,1.0,1.0,0.0,0.0,0.35294117647058826,0.7647058823529411,0.5384615384615384,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,8.987749099731445,1.0,0.974813239119722,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COc1cc(/C=C/C(=O)O)ccc1O,194.186,194.0579088,14.0,10.0,4.0,4.0,1.4986,51.328600000000016,66.76,2.0,3.0,5.0,3.0,1.0,1.0,0.0,0.0,0.42857142857142855,0.7142857142857143,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CN(C)C(=O)Oc1cc(OC(=O)N(C)C)cc([C@H](O)CNC(C)(C)C)c1,367.4460000000001,367.210721028,26.0,18.0,8.0,8.0,2.2288999999999994,98.57950000000005,91.34,2.0,6.0,8.0,5.0,1.0,1.0,0.0,0.0,0.23076923076923078,0.6923076923076923,0.5555555555555556,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,9.353959083557129,1.0,0.9890038939925958,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ClNCc1ccccc1Cl,176.04599999999996,174.995554584,10.0,7.0,3.0,1.0,2.583400000000001,44.144700000000014,12.03,1.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,0.6,0.7,0.14285714285714285,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC(C)(C)NC[C@H](O)c1cc(O)cc(O)c1,225.288,225.136493468,16.0,12.0,4.0,4.0,1.5192999999999997,62.48710000000004,72.72,4.0,4.0,8.0,3.0,1.0,1.0,0.0,0.0,0.375,0.75,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,9.420448303222656,1.0,0.990550079951731,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCCCCN(CCCOC)C(=O)[C@H](CCC(=O)O)NC(=O)c1ccc(Cl)c(Cl)c1,461.3860000000001,460.15317741999996,30.0,21.0,9.0,7.0,4.0119000000000025,117.18400000000005,95.94,2.0,4.0,6.0,14.0,1.0,1.0,0.0,0.0,0.2,0.7,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,1.0,0.0,1.0
CCN(CC)CCNC(=O)c1cc(Br)c(N)cc1OC,344.2530000000001,343.089539044,20.0,14.0,6.0,5.0,2.1115,85.22760000000004,67.59,2.0,4.0,6.0,7.0,1.0,1.0,0.0,0.0,0.3,0.7,0.5,0.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,9.066176414489746,2.0,0.9788867050111755,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COc1cccc(CN(C)C)c1,165.236,165.1153641,12.0,10.0,2.0,2.0,1.7568,50.38500000000003,12.47,0.0,2.0,2.0,3.0,1.0,1.0,0.0,0.0,0.5,0.8333333333333334,0.4,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,8.310708999633789,1.0,0.8906097879601764,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O=C(O)c1ccccc1S,154.18999999999997,154.008850432,10.0,7.0,3.0,2.0,1.6735,40.653300000000016,37.3,2.0,2.0,4.0,1.0,1.0,1.0,0.0,0.0,0.6,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CNCCC[C@](C#N)(c1ccc(OC)c(OC)c1)C(C)C,290.40700000000004,290.199428072,21.0,17.0,4.0,4.0,3.1207800000000017,84.83570000000006,54.28,1.0,4.0,5.0,8.0,1.0,1.0,0.0,0.0,0.2857142857142857,0.8095238095238095,0.5882352941176471,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,10.417774200439453,1.0,0.9990410209482049,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
COc1ccc([C@@](C#N)(CCCN)C(C)C)cc1OC,276.38,276.183778008,20.0,16.0,4.0,4.0,2.860080000000001,79.96340000000005,68.27,1.0,4.0,5.0,7.0,1.0,1.0,0.0,0.0,0.3,0.8,0.5625,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,10.04636001586914,1.0,0.9977475215649588,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
CCN(CC)CCNC(=O)c1cc(S(C)(=O)=O)ccc1OC,328.4340000000001,328.14567824799997,22.0,15.0,7.0,6.0,1.1702999999999997,86.22500000000005,75.71000000000001,1.0,5.0,6.0,8.0,1.0,1.0,0.0,0.0,0.2727272727272727,0.6818181818181818,0.5333333333333333,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,9.078577995300293,1.0,0.9794688797524886,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCN(CC)CCN(CC)CCOC(=O)c1ccc(N)cc1,307.438,307.225977168,22.0,17.0,5.0,5.0,2.0892999999999997,91.03890000000006,58.8,1.0,5.0,6.0,10.0,1.0,1.0,0.0,0.0,0.2727272727272727,0.7727272727272727,0.5882352941176471,0.0,0.0,0.0,3.0,2.0,0.0,0.0,2.0,0.0,8.935160636901855,3.0,0.9716629265548771,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CN(C)CCOC(=O)COc1ccc(Cl)cc1,257.717,257.081871052,17.0,12.0,5.0,4.0,1.8235999999999999,66.46000000000004,38.769999999999996,0.0,4.0,4.0,6.0,1.0,1.0,0.0,0.0,0.35294117647058826,0.7058823529411765,0.4166666666666667,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,7.7849321365356445,1.0,0.7081340931940366,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC(=O)Nc1ccc(OC[C@@H](O)CNC(C)C)cc1,266.34099999999995,266.163042564,19.0,14.0,5.0,5.0,1.3826999999999992,75.38620000000004,70.59,3.0,4.0,7.0,7.0,1.0,1.0,0.0,0.0,0.3157894736842105,0.7368421052631579,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,9.117544174194336,2.0,0.9811976418221473,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
