smiles,mol_weight,exact_mol_weight,heavy_atom_count,heteroatom_count,logp,tpsa,hbd,hba,total_hbond_donors_acceptors,rotatable_bonds,ring_count,aromatic_ring_count,aliphatic_ring_count,fraction_csp3,formal_charge,amide_bond_count,primary_amide_count,lactam_count,gamma_lactam_count,nitrile_count,aldehyde_count,ketone_count,michael_acceptor_count,electrophilic_warhead_count,carbamate_count,urea_count,sulfonamide_count,polar_amide_like_group_count,branched_sp3_carbon_count,small_aliphatic_carbocycle_count,bridgehead_atom_count,spiro_atom_count,has_electrophilic_warhead,p1_glutamine_mimic_present,s1_hbond_proxy_present,p2_hydrophobic_sidechain_present,p2_hydrophobic_proxy_score,p3_p4_polar_substituent_present,mpro_structural_motif_count,rotatable_bonds_le_10,tpsa_le_140,logp_lt_5,mol_weight_le_500,hbd_le_5,hba_le_10,total_hbond_donors_acceptors_le_12,aromatic_ring_count_le_3,fraction_csp3_ge_0p4,mpro_physchem_rule_pass_count,mpro_physchem_window_pass,mpro_design_rule_pass_count
O=C(O)CCN1CCCCC1,157.213,157.11027872,11.0,3.0,0.9469999999999998,40.54,1.0,2.0,3.0,3.0,1.0,0.0,1.0,0.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,1.0,10.0
COC(=O)[C@@H]1[C@H](C)CCCN1C(C)=O,199.24999999999997,199.120843404,14.0,4.0,0.8063999999999998,46.61,0.0,3.0,3.0,1.0,1.0,0.0,1.0,0.8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,1.0,10.0
C[C@H]1[C@@H](CO)CCCN1C,143.23,143.131014164,10.0,2.0,0.7090000000000001,23.47,1.0,2.0,3.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,1.0,9.0
COC(=O)[C@@H]1CCCN[C@@H]1C,157.21300000000002,157.11027872,11.0,3.0,0.5474999999999999,38.33,1.0,3.0,4.0,1.0,1.0,0.0,1.0,0.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,1.0,9.0
C[C@H]1CNC[C@H](CO)C1,129.20299999999997,129.1153641,9.0,2.0,0.22429999999999983,32.26,2.0,2.0,4.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,1.0,9.0
CS(=O)(=O)N1CCCC(C(=O)O)C1,207.251,207.056528896,13.0,6.0,-0.2574000000000001,74.68,1.0,3.0,4.0,2.0,1.0,0.0,1.0,0.8571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,1.0,10.0
CC(=O)N1CCCC(C(N)=O)C1,170.21199999999996,170.105527688,12.0,4.0,-0.2697999999999998,63.4,1.0,2.0,3.0,1.0,1.0,0.0,1.0,0.75,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,1.0,10.0
CC1CCN(C(=O)CC(F)(F)F)CC1,209.21099999999993,209.102748728,14.0,5.0,2.1973000000000003,20.310000000000002,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.8888888888888888,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,1.0,11.0
CC1CCN(CCN)CC1,142.24599999999998,142.146998576,10.0,2.0,0.6770000000000002,29.259999999999998,1.0,2.0,3.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,1.0,9.0
C[C@H]1NCCC[C@H]1C(N)=O,142.202,142.110613068,10.0,3.0,-0.14019999999999955,55.12,2.0,2.0,4.0,1.0,1.0,0.0,1.0,0.8571428571428571,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,1.0,10.0
CNC(=O)[C@@H]1CCCN(S(C)(=O)=O)[C@@H]1C,234.321,234.103813436,15.0,6.0,-0.20749999999999913,66.48,1.0,3.0,4.0,2.0,1.0,0.0,1.0,0.8888888888888888,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,1.0,10.0
CC1(CO)CCCCN1,129.20300000000003,129.1153641,9.0,2.0,0.5108999999999999,32.26,2.0,2.0,4.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,1.0,9.0
CS(=O)(=O)NC1CCNCC1,178.25699999999998,178.077598688,11.0,5.0,-0.7123999999999999,58.2,2.0,3.0,5.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,1.0,10.0
CC(C)N(C)C(=O)C1CCN(C(=O)CCl)CC1,260.765,260.129155592,17.0,5.0,1.3305999999999998,40.620000000000005,0.0,2.0,2.0,3.0,1.0,0.0,1.0,0.8333333333333334,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,1.0,11.0
CC(N)C(=O)N1CCCCC1C,170.25599999999997,170.141913196,12.0,3.0,0.7345999999999999,46.330000000000005,1.0,2.0,3.0,1.0,1.0,0.0,1.0,0.8888888888888888,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,1.0,11.0
CC1(CO)CCCNC1,129.203,129.1153641,9.0,2.0,0.3683999999999999,32.26,2.0,2.0,4.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,1.0,9.0
CC1CCCN(C(=O)CO)C1,157.213,157.11027872,11.0,3.0,0.23720000000000013,40.540000000000006,1.0,2.0,3.0,1.0,1.0,0.0,1.0,0.875,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,1.0,10.0
COC[C@@H]1CCCN[C@@H]1C,143.23000000000002,143.131014164,10.0,2.0,1.0209000000000001,21.259999999999998,1.0,2.0,3.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,1.0,9.0
CC1(CO)CCNCC1,129.203,129.1153641,9.0,2.0,0.36839999999999967,32.26,2.0,2.0,4.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,1.0,9.0
C[C@H]1NCCC[C@H]1C#N,124.187,124.10004838399999,9.0,2.0,0.89808,35.82,1.0,2.0,3.0,0.0,1.0,0.0,1.0,0.8571428571428571,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,1.0,10.0
COC(=O)[C@@H]1CCCN(C(C)=O)[C@@H]1C,199.25,199.120843404,14.0,4.0,0.8063999999999998,46.61,0.0,3.0,3.0,1.0,1.0,0.0,1.0,0.8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,1.0,10.0
CCOC(=O)CN1CCCCC1,171.23999999999995,171.125928784,12.0,3.0,1.0354,29.54,0.0,3.0,3.0,3.0,1.0,0.0,1.0,0.8888888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,1.0,9.0
CC(C)C(=O)NCC1CCCNC1,184.28299999999996,184.15756326,13.0,3.0,0.7581999999999998,41.13,2.0,2.0,4.0,3.0,1.0,0.0,1.0,0.9,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,1.0,11.0
C[C@@H]1[C@H](C#N)CCCN1S(C)(=O)=O,202.279,202.077598688,13.0,5.0,0.5700800000000001,61.17,0.0,3.0,3.0,1.0,1.0,0.0,1.0,0.875,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,1.0,11.0
C[C@H]1CCC[C@@H](CO)N1S(C)(=O)=O,207.295,207.092914404,13.0,5.0,0.1813000000000003,57.61,1.0,3.0,4.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,1.0,10.0
COC(=O)C1CCN(CC(N)=O)CC1,200.23799999999997,200.116092372,14.0,5.0,-0.6432999999999991,72.63,1.0,4.0,5.0,3.0,1.0,0.0,1.0,0.7777777777777778,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,1.0,10.0
CC1CCCCN1CCN,142.246,142.146998576,10.0,2.0,0.8195000000000001,29.259999999999998,1.0,2.0,3.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,1.0,9.0
CC(=O)N1CCC[C@@H](CO)[C@H]1C,171.24,171.125928784,12.0,3.0,0.6257000000000001,40.540000000000006,1.0,2.0,3.0,1.0,1.0,0.0,1.0,0.8888888888888888,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,1.0,10.0
C[C@@H]1[C@H](C(N)=O)CCCN1S(C)(=O)=O,220.294,220.088163372,14.0,6.0,-0.46819999999999884,80.47,1.0,3.0,4.0,2.0,1.0,0.0,1.0,0.875,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,1.0,10.0
N[C@@H]1CCCN(C(=O)CCC(F)(F)F)C1,224.22599999999994,224.11364776,15.0,6.0,1.2786,46.33,1.0,2.0,3.0,2.0,1.0,0.0,1.0,0.8888888888888888,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,1.0,11.0
CS(=O)(=O)N1CCC(O)CC1,179.241,179.061614276,11.0,5.0,-0.5973000000000002,57.61,1.0,3.0,4.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,1.0,10.0
C[C@@H]1[C@H](C(=O)O)CCCN1S(C)(=O)=O,221.278,221.07217896,14.0,6.0,0.1311,74.68,1.0,3.0,4.0,2.0,1.0,0.0,1.0,0.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,1.0,10.0
C[C@H]1CCCN(S(C)(=O)=O)[C@@H]1CO,207.295,207.092914404,13.0,5.0,0.03880000000000022,57.61,1.0,3.0,4.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,1.0,10.0
C[C@H]1CN(C)CC[C@H]1CO,143.23,143.131014164,10.0,2.0,0.5665,23.47,1.0,2.0,3.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,1.0,9.0
CCS(=O)(=O)N1CCC(C(=O)O)CC1,221.27799999999996,221.07217896,14.0,6.0,0.13269999999999976,74.68,1.0,3.0,4.0,3.0,1.0,0.0,1.0,0.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,1.0,10.0
CC(=O)N1CCC[C@H](C)[C@H]1CO,171.24,171.125928784,12.0,3.0,0.6257000000000001,40.540000000000006,1.0,2.0,3.0,1.0,1.0,0.0,1.0,0.8888888888888888,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,1.0,10.0
CC(=O)N1CCC[C@@H](CO)[C@@H]1C,171.24,171.125928784,12.0,3.0,0.6257000000000001,40.540000000000006,1.0,2.0,3.0,1.0,1.0,0.0,1.0,0.8888888888888888,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,1.0,10.0
Cc1ccc(C(N)=O)c(F)c1,153.156,153.058992096,11.0,3.0,1.23302,43.09,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0.125,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,8.0,0.0,9.0
COC(=O)c1ccc(S(N)(=O)=O)cc1,215.23,215.025228768,14.0,6.0,0.12059999999999993,86.46000000000001,1.0,4.0,5.0,2.0,1.0,1.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,8.0,0.0,9.0
Cc1cc(F)cc(S(N)(=O)=O)c1,189.21099999999998,189.025977716,12.0,5.0,0.7815200000000002,60.160000000000004,1.0,2.0,3.0,1.0,1.0,1.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,8.0,0.0,9.0
CN(C)C(=O)c1ccc(F)cc1Br,246.07899999999995,244.985154228,13.0,4.0,2.29,20.310000000000002,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.2222222222222222,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,8.0,0.0,9.0
CCC(=O)Nc1cccc(N)c1C,178.23499999999996,178.110613068,13.0,3.0,1.9257199999999999,55.120000000000005,2.0,2.0,4.0,2.0,1.0,1.0,0.0,0.3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,8.0,0.0,10.0
NC(=S)Nc1ccccc1OC(F)(F)F,236.21799999999993,236.023118504,15.0,7.0,2.2407000000000004,47.28,2.0,2.0,4.0,2.0,1.0,1.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,8.0,0.0,8.0
CC(NC(=O)CCl)c1cccc(Cl)c1,232.11,231.021769332,14.0,4.0,2.756000000000001,29.1,1.0,1.0,2.0,3.0,1.0,1.0,0.0,0.3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,8.0,0.0,10.0
