smiles,mol_weight,exact_mol_weight,heavy_atom_count,total_atom_count,logp,molar_refractivity,tpsa,hbd,hba,total_hbond_donors_acceptors,heteroatom_count,rotatable_bonds,ring_count,aromatic_ring_count,aliphatic_ring_count,fraction_csp3,stereocenter_count,formal_charge,positive_formal_atom_count,negative_formal_atom_count,abs_formal_charge,labute_asa,labute_asa_per_heavy_atom,aromatic_heavy_atom_fraction,fused_aromatic_ring_count,intramolecular_hbond_pair_count,intramolecular_hbond_potential_present,most_basic_pka,most_acidic_pka,num_basic_sites,num_acidic_sites,neutral_fraction_ph74,charged_fraction_ph74,base_protonated_fraction_ph74,acid_deprotonated_fraction_ph74,net_charge_proxy_ph74,estimated_logd_ph74,has_amphoteric_sites,ionizable_center_present,moderate_basic_pka_8_12,moderate_acidic_pka_2_6,any_moderate_pka_2_12,pka_features_available,mw_le_500,logp_le_5,hbd_le_5,hba_le_10,lipinski_pass,lipinski_violation_count,rotatable_bonds_le_10,tpsa_le_140,veber_pass,logp_le_5p88,tpsa_le_131p6,egan_pass,ghose_mw_in_160_480,ghose_logp_in_neg0p4_5p6,ghose_atom_count_in_20_70,ghose_mr_in_40_130,ghose_pass,oprea_hbd_lt_2,oprea_hba_in_2_10,oprea_rotatable_bonds_in_2_8,oprea_ring_count_in_1_4,oprea_pass,mw_le_300,logp_le_3,hbd_le_3,hba_le_3,rule_of_3_pass,muegge_mw_in_200_600,muegge_logp_in_neg2_5,tpsa_le_150,rotatable_bonds_le_15,ring_count_le_7,muegge_pass,pfizer_3_75_risk,pfizer_3_75_safe,aromatic_ring_count_le_3,fraction_csp3_ge_0p4,fraction_csp3_distance_to_0p45,stereocenter_count_ge_1,crystal_packing_risk_proxy,oral_bioavailability_rule_pass_count,oral_bioavailability_screen_pass
CCN(CC)CCNC(=O)c1ccc(N)cc1,235.33100000000002,235.168462292,17.0,38.0,1.3403999999999996,70.97560000000004,58.36,2.0,3.0,5.0,4.0,6.0,1.0,1.0,0.0,0.46153846153846156,0.0,0.0,0.0,0.0,0.0,102.79710657114113,6.046888621831831,0.35294117647058826,0.0,2.0,1.0,9.09128189086914,13.661311149597168,2.0,3.0,0.019951044463828872,0.9800489555361711,0.9800489446053072,5.478839932575456e-07,0.9800483967213139,-0.35963436348581435,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.011538461538461553,0.0,0.0,7.0,1.0
CN(C)C(=O)Oc1cccc([N+](C)(C)C)c1,223.29599999999996,223.14410426809,16.0,35.0,1.9437,65.71900000000004,29.540000000000003,0.0,2.0,2.0,4.0,2.0,1.0,1.0,0.0,0.4166666666666667,0.0,1.0,1.0,0.0,1.0,96.62576196242932,6.039110122651833,0.375,0.0,0.0,0.0,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.9437,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.033333333333333326,0.0,0.0,7.0,1.0
Cc1ccc(C)c(OCCCC(C)(C)C(=O)O)c1,250.33799999999997,250.156894564,18.0,40.0,3.573240000000002,72.06180000000005,46.53,1.0,2.0,3.0,3.0,6.0,1.0,1.0,0.0,0.5333333333333333,0.0,0.0,0.0,0.0,0.0,108.7851832308131,6.043621290600728,0.3333333333333333,0.0,1.0,1.0,,4.832699298858643,0.0,1.0,0.002701000609338422,0.9972989993906616,0.0,0.9972989993906616,-0.9972989993906616,1.0047646821631226,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.08333333333333331,0.0,0.0,6.0,0.0
CC(=O)Nc1ccc(O)cc1,151.165,151.063328528,11.0,20.0,1.3505999999999998,42.41050000000002,49.33,2.0,2.0,4.0,3.0,1.0,1.0,1.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,64.66690538413799,5.878809580376181,0.5454545454545454,0.0,2.0,1.0,4.599997043609619,10.095858573913574,1.0,2.0,0.9964104760225967,0.0035895239774033083,0.00158237452604812,0.0020103305472019663,-0.0004279560211538462,1.3490382849572917,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.325,0.0,0.0,5.0,0.0
CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,266.34099999999995,266.163042564,19.0,41.0,0.45210000000000006,73.98090000000003,84.57999999999998,3.0,4.0,7.0,5.0,8.0,1.0,1.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,113.30999399703728,5.963683894580909,0.3157894736842105,0.0,2.0,1.0,9.121191024780273,13.841197967529297,2.0,3.0,0.018648057576212625,0.9813519424237874,0.9813519356717376,3.6207778115406663e-07,0.9813515735939564,-1.2772663985933983,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.04999999999999999,1.0,0.0,6.0,1.0
CC(C)Cc1ccc(C(C)C(=O)O)cc1,206.28499999999997,206.130679816,15.0,33.0,3.073200000000001,61.03480000000004,37.3,1.0,1.0,2.0,2.0,4.0,1.0,1.0,0.0,0.46153846153846156,1.0,0.0,0.0,0.0,0.0,90.94175377251302,6.062783584834202,0.4,0.0,0.0,0.0,,4.400064945220947,0.0,1.0,0.0009991502534001384,0.9990008497465999,0.0,0.9990008497465999,-0.9990008497465999,0.07283080285643129,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.011538461538461553,1.0,0.0,5.0,0.0
COCCCC/C(=N\OCCN)c1ccc(C(F)(F)F)cc1,318.339,318.155512572,22.0,43.0,3.201500000000001,78.71440000000003,56.84,1.0,4.0,5.0,7.0,9.0,1.0,1.0,0.0,0.5333333333333333,0.0,0.0,0.0,0.0,0.0,127.62883049920974,5.8013104772368065,0.2727272727272727,0.0,0.0,0.0,9.03242301940918,,2.0,0.0,0.022780800028607495,0.9772191999713925,0.9772191999713925,0.0,0.9772191999713925,1.5590689718022834,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.08333333333333331,0.0,0.0,5.0,0.0
NC[C@H](O)c1ccc(O)c(O)c1,169.17999999999998,169.073893212,12.0,23.0,0.08989999999999998,43.78580000000002,86.71000000000001,4.0,4.0,8.0,4.0,2.0,1.0,1.0,0.0,0.25,1.0,0.0,0.0,0.0,0.0,69.88387930189093,5.823656608490911,0.5,0.0,4.0,1.0,8.076447486877441,9.552392959594727,1.0,3.0,0.17277802386423255,0.8272219761357674,0.8260055225500732,0.006991334457982075,0.8190141880920911,-0.6726114975136265,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.2,1.0,0.0,5.0,1.0
NCC(O)c1cccc(O)c1,153.18099999999998,153.078978592,11.0,22.0,0.3842999999999999,42.12100000000002,66.48,3.0,3.0,6.0,3.0,2.0,1.0,1.0,0.0,0.25,1.0,0.0,0.0,0.0,0.0,65.08964554969491,5.917240504517719,0.5454545454545454,0.0,2.0,1.0,8.109000205993652,9.74720287322998,1.0,2.0,0.16275193573384458,0.8372480642661554,0.8365163807190586,0.004475577127023274,0.8320408035920354,-0.4041738373310289,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.2,1.0,0.0,5.0,1.0
CN[C@@H](C)[C@@H](O)c1ccccc1,165.236,165.1153641,12.0,27.0,1.3278999999999999,49.92350000000003,32.26,2.0,2.0,4.0,2.0,3.0,1.0,1.0,0.0,0.4,2.0,0.0,0.0,0.0,0.0,73.23526751288745,6.102938959407287,0.5,0.0,0.0,0.0,9.519682884216309,13.84833812713623,1.0,1.0,0.007534120203765927,0.992465879796234,0.9924658771127784,3.561735936601898e-07,0.9924655209391848,-0.7950674550889765,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.04999999999999999,1.0,0.0,6.0,1.0
CCOC(=O)C(C)(C)Oc1ccc(Cl)cc1,242.702,242.07097202,16.0,31.0,3.060500000000001,62.79200000000004,35.53,0.0,3.0,3.0,4.0,4.0,1.0,1.0,0.0,0.4166666666666667,0.0,0.0,0.0,0.0,0.0,100.3129345918158,6.269558411988488,0.375,0.0,0.0,0.0,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.060500000000001,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.033333333333333326,0.0,0.0,6.0,0.0
Cc1cccc(C)c1OCC(C)N,179.26299999999998,179.131014164,13.0,30.0,2.0294399999999997,55.06040000000003,35.25,1.0,2.0,3.0,2.0,3.0,1.0,1.0,0.0,0.45454545454545453,1.0,0.0,0.0,0.0,0.0,79.70954961799958,6.131503816769198,0.46153846153846156,0.0,0.0,0.0,8.22167682647705,,1.0,0.0,0.13101878345829066,0.8689812165417093,0.8689812165417093,0.0,0.8689812165417093,1.1467735625832949,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.004545454545454519,1.0,0.0,7.0,1.0
COc1cc(C)c(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)c(C)c1C,326.4360000000001,326.18819469199997,24.0,50.0,5.167060000000005,100.52880000000005,46.53,1.0,2.0,3.0,3.0,6.0,1.0,1.0,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,144.21642378845576,6.009017657852323,0.25,0.0,0.0,0.0,,5.00492000579834,0.0,1.0,0.004010281520798964,0.995989718479201,0.0,0.995989718479201,-0.995989718479201,2.770234861058595,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.1642857142857143,0.0,0.0,4.0,0.0
CCCN(CCC)S(=O)(=O)c1ccc(C(=O)O)cc1,285.36499999999995,285.10347908800003,19.0,38.0,2.1955,72.74210000000005,74.68,1.0,3.0,4.0,6.0,7.0,1.0,1.0,0.0,0.46153846153846156,0.0,0.0,0.0,0.0,0.0,113.46236333513149,5.971703333427973,0.3157894736842105,0.0,2.0,1.0,,3.588864326477051,0.0,1.0,0.0001544533182581409,0.9998455466817419,0.0,0.9998455466817419,-0.9998455466817419,-1.6157027569273104,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.011538461538461553,0.0,0.0,8.0,1.0
CC(C)NC[C@H](O)COc1ccc(O)cc1,225.288,225.136493468,16.0,35.0,1.1298999999999995,62.747300000000045,61.72,3.0,4.0,7.0,4.0,6.0,1.0,1.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,95.87293072338358,5.9920581702114735,0.375,0.0,3.0,1.0,9.027318000793457,10.249032020568848,1.0,2.0,0.023011378305782065,0.976988621694218,0.9769560447299352,0.0014136880540211363,0.9755423566759142,-0.5081573677429885,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.04999999999999999,1.0,0.0,6.0,1.0
CCN(CC)CC(=O)Nc1c(C)cccc1C,234.343,234.173213324,17.0,39.0,2.5837400000000006,72.33370000000005,32.34,1.0,2.0,3.0,3.0,5.0,1.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,103.82215798852502,6.107185764030883,0.35294117647058826,0.0,0.0,0.0,7.599278450012207,13.872204780578613,2.0,1.0,0.38725721464551266,0.6127427853544873,0.6127426547991183,3.371281931933898e-07,0.6127423176709251,2.171739517461711,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.04999999999999999,0.0,0.0,8.0,1.0
CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1,270.354,270.103813436,18.0,36.0,1.78302,69.80720000000004,75.27000000000001,2.0,3.0,5.0,6.0,5.0,1.0,1.0,0.0,0.4166666666666667,0.0,0.0,0.0,0.0,0.0,107.64307816555157,5.98017100919731,0.3333333333333333,0.0,2.0,1.0,4.306405067443848,5.2077741622924805,1.0,2.0,0.006377396527998173,0.9936226034720018,0.0008054806478209942,0.9936174624615306,-0.9928119818137096,-0.4123365790033895,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.033333333333333326,0.0,0.0,7.0,1.0
C=CCc1ccccc1OCC(O)CNC(C)C,249.35399999999996,249.172878976,18.0,41.0,2.1528,74.98350000000005,41.49,2.0,3.0,5.0,3.0,8.0,1.0,1.0,0.0,0.4666666666666667,1.0,0.0,0.0,0.0,0.0,109.48392028219311,6.0824400156773955,0.3333333333333333,0.0,1.0,1.0,9.026785850524902,13.885209083557129,1.0,1.0,0.023071549422912188,0.9769284505770878,0.9769284430284658,3.271830332504619e-07,0.9769281158454326,0.5158767615442892,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.016666666666666663,1.0,0.0,7.0,1.0
