error_type,feature_name,feature_description,sample_count,affected_fraction,mean_harmful_shap_value,mean_abs_harmful_shap_value,mean_raw_value,mean_model_input_value,example_sample_indices
false_positive,logp,Wildman-Crippen logP.,18,0.6,0.037707307727098585,0.037707307727098585,3.327573333333335,0.7358628833364909,69;448;517;549;571;594;634;653;655;768
false_positive,hba,Hydrogen bond acceptor count.,16,0.5333333333333333,0.006013698297279231,0.006013698297279231,5.8125,0.19753787110369028,69;466;517;538;568;594;634;653;708;710
false_positive,chiral_center_count,Count of atom stereo centers.,15,0.5,0.012006151409521276,0.012006151409521276,0.0,-0.6754053050232899,69;417;448;517;526;549;559;571;594;619
false_positive,charged_fraction_ph74,1 - neutral_fraction_ph74.,15,0.5,0.008114712510068182,0.008114712510068182,0.13350535675695235,-0.9418487005603813,69;420;517;526;571;634;653;655;708;710
false_positive,aromatic_amine_present,1 if an aromatic amine alert is present.,14,0.4666666666666667,0.0067259527048912,0.0067259527048912,1.0,2.2267868963277118,417;420;466;526;538;559;568;571;594;619
false_positive,neutral_fraction_ph74,Estimated neutral fraction at pH 7.4.,12,0.4,0.010645420528390707,0.010645420528390707,0.9912732789106181,1.21157084522724,69;420;517;571;655;708;710;722;768;806
false_positive,heavy_atom_count,Heavy atom count.,12,0.4,0.005665965886584488,0.005665965886584488,26.25,0.07514832950368076,417;517;559;571;653;806;807;808;809;810
false_positive,acid_deprotonated_fraction_ph74,Estimated deprotonated fraction for the dominant acidic site at pH 7.4.,11,0.36666666666666664,0.009852375472987446,0.009852375472987446,0.0027353490730131847,-0.6364605260710223,420;526;559;594;708;710;722;768;807;841
false_positive,num_basic_sites,Number of predicted basic sites from the MolGpKa helper.,10,0.3333333333333333,0.034813444299425754,0.034813444299425754,4.6,2.1404040070623376,417;466;538;559;568;571;594;619;655;930
false_positive,base_protonated_fraction_ph74,Estimated protonated fraction for the dominant basic site at pH 7.4.,9,0.3,0.011093584539857766,0.011093584539857766,0.05668860848461547,-0.681721411694245,420;466;517;526;538;571;653;655;853
false_positive,aromatic_amine_count,Count of primary or secondary aromatic amine nitrogens.,7,0.23333333333333334,0.027133500941684294,0.027133500941684294,2.2857142857142856,3.603300238919668,417;466;538;559;568;571;930
false_positive,heteroatom_count,Total heteroatom count.,7,0.23333333333333334,0.0045533304608044506,0.0045533304608044506,8.571428571428571,0.24539901831533925,420;466;538;549;708;806;853
false_positive,total_hbond_donors_acceptors,HBD + HBA total.,6,0.2,0.00620678835283359,0.00620678835283359,12.5,0.8051871544203721,417;420;466;538;568;655
false_positive,exact_mol_weight,Exact molecular weight (Descriptors.ExactMolWt).,5,0.16666666666666666,0.007167744909078783,0.007167744909078783,377.7200791624,0.030478202317438675,571;710;807;809;841
false_positive,rotatable_bonds,Rotatable bond count.,5,0.16666666666666666,0.0065095827290293715,0.0065095827290293715,2.6,-0.5156610334027734,526;634;708;710;722
false_positive,mol_weight,Molecular weight (Descriptors.MolWt).,4,0.13333333333333333,0.005950575685456376,0.005950575685456376,366.1957500000001,-0.02090253002224579,653;708;722;853
false_positive,hbd,Hydrogen bond donor count.,3,0.1,0.00909135772982672,0.00909135772982672,3.0,0.26058582294246146,708;710;722
false_positive,michael_acceptor_count,"Count of alpha,beta-unsaturated carbonyl alerts.",3,0.1,0.002130430638431959,0.002130430638431959,0.0,-0.3499709223064061,571;594;653
false_positive,electrophilic_alert_count,Number of distinct electrophilic alert families matched.,2,0.06666666666666667,0.002678255857536952,0.002678255857536952,0.5,0.4993428629879235,806;807
false_positive,structural_alert_family_count,Number of distinct ClinTox-oriented structural alert families matched.,1,0.03333333333333333,0.011256104688761369,0.011256104688761369,2.0,1.6369033964464603,417
false_positive,property_alert_count,Count of violated ClinTox physchem windows excluding pKa.,1,0.03333333333333333,0.004500885060417904,0.004500885060417904,4.0,2.2305940783532607,655
